,0,1000,2000,3000,4000,5000,6000,7000,8000,9000
35,49.956673,40.13597,43.66577,52.610996,80.01988,110.153984,150.92322,149.42218,116.38941,110.606735
36,46.51364,38.29492,41.38216,50.5939,74.187,108.247025,148.10982,133.16614,109.442024,104.742325
37,43.927624,36.295197,36.852364,47.262268,71.998085,102.09645,124.25487,129.44101,97.21275,80.819595
38,41.624752,33.546783,35.112152,45.100044,66.36151,97.41788,115.597244,121.45297,79.305824,64.209625
39,38.915047,31.947216,34.064415,42.714287,60.94739,85.01109,103.50308,97.83689,77.06306,61.21644
40,37.99684,31.08904,31.377699,40.18087,52.923805,82.1532,96.63216,89.19409,66.970604,56.666744
41,34.20143,28.953815,31.965353,35.429714,51.36646,67.48228,90.47227,79.97891,65.425446,52.907364
42,32.845276,26.739649,25.295052,34.169666,50.092422,63.947304,77.68937,78.944084,64.31079,44.14462
43,31.41331,25.452234,23.576561,32.796833,45.894943,61.48012,74.756546,77.77605,50.776352,42.366444
44,29.962015,23.553082,22.252945,29.980555,42.842873,54.843403,67.6167,70.80943,57.141354,36.94352
45,28.423794,22.012308,20.66908,27.809343,40.76838,52.897854,72.06649,69.558624,45.839546,36.440357
46,27.105707,21.166134,20.031948,26.894247,39.56615,50.888237,71.59638,64.824036,41.71475,26.758915
47,24.789839,19.412117,18.893665,25.57195,36.503494,48.76922,57.536007,60.857132,38.84969,27.563438
48,23.929047,18.52929,17.08022,25.26978,35.379887,43.893894,57.05673,57.748764,29.13439,28.055159
49,23.392994,17.686113,16.673334,23.683397,33.946983,43.19858,53.18672,54.669376,22.908524,21.950249
50,22.69528,16.6341,15.557171,22.52579,32.03713,40.57407,49.70965,53.350372,19.82445,16.165253
51,20.162104,15.682207,14.432385,17.693932,29.346218,38.38424,47.004074,44.522507,18.802645,12.45027
52,19.342089,14.758555,14.123002,17.164585,28.315628,36.524532,39.375645,45.90598,17.496143,11.644782
53,18.393827,13.666836,13.002712,15.19853,27.241468,33.097374,35.55955,46.216938,15.445079,8.998148
54,17.765535,13.397854,12.691727,14.723912,23.917248,30.804316,31.290873,35.313602,14.652266,8.918293
55,17.361416,12.656381,12.216324,13.859392,24.040937,26.762024,29.60765,33.55954,12.63515,7.0885434
